"parents","privacy","copies","std_diff","ci_overlap"
0,0,1,1.12682230287882,0.712795143731196
0,0,5,0.93356861557728,0.762039366469146
0,0,10,0.650806953139532,0.8341717788159
0,0.1,1,2.06849035453734,0.477216186046098
0,0.1,5,1.75390223546706,0.570211610819667
0,0.1,10,1.51052520808827,0.626371825264286
0,1,1,1.66197766150333,0.57948744248796
0,1,5,0.66460969237087,0.830767502739527
0,1,10,0.623100204108638,0.84152525723059
0,5,1,0.61364165333877,0.843824083955538
0,5,5,0.655622797736037,0.833017696224431
0,5,10,0.632617395693937,0.83897058204685
0,10,1,0.568711956758427,0.855225973148647
0,10,5,0.677476367040372,0.8274818668342
0,10,10,0.627742612557171,0.840202894588676
0,20,1,0.916140964492185,0.766876227417601
0,20,5,0.622510314727063,0.841668366653381
0,20,10,0.612204415653932,0.844242706444053
0,30,1,1.18591616888099,0.697692253812698
0,30,5,0.770590957082678,0.81042854233981
0,30,10,0.608606441290355,0.845184737102155
1,0,1,1.30995264569617,0.666294013106151
1,0,5,0.85766947502194,0.781212359971995
1,0,10,0.854890394352218,0.781913778991197
1,0.1,1,2.08522915422455,0.476717324658405
1,0.1,5,1.73521401747425,0.582023507798088
1,0.1,10,1.1305700345487,0.736156711308595
1,1,1,0.70642085200409,0.819783063339305
1,1,5,0.732107955345698,0.813306179204199
1,1,10,0.824126978829582,0.789950527779428
1,5,1,0.562085755711143,0.856638363750988
1,5,5,0.60152840940856,0.846668607617109
1,5,10,0.69573122837364,0.822781724310454
1,10,1,0.823723173445449,0.790014414875768
1,10,5,0.634634417136607,0.838210206176474
1,10,10,0.682878944115034,0.825962011705539
1,20,1,1.097386884805,0.720079105949882
1,20,5,0.539109842240653,0.862564280000993
1,20,10,0.789732107752541,0.798651652173412
1,30,1,0.596392371343446,0.848062778851251
1,30,5,0.583942087185609,0.851186732284223
1,30,10,0.552761964708901,0.859161007501086
2,0,1,1.03528446190847,0.736046704875639
2,0,5,0.963443084427877,0.754415173617351
2,0,10,0.825557977360566,0.789655998865051
2,0.1,1,2.79839120355702,0.367932693052137
2,0.1,5,2.09676949828132,0.58732561353819
2,0.1,10,1.74383180465479,0.641307850404946
2,1,1,1.40566519391341,0.643617646367129
2,1,5,0.769561989900745,0.804059305873966
2,1,10,0.755259913450841,0.807941961792614
2,5,1,1.06150196846191,0.729485954522452
2,5,5,0.446563272045171,0.886403647142633
2,5,10,0.624117943772796,0.841110791772242
2,10,1,0.815074828502992,0.792631012970741
2,10,5,0.706879125420493,0.819843617421821
2,10,10,0.621595347307893,0.841742008872878
2,20,1,0.817559699519149,0.792006108663723
2,20,5,0.689587917814856,0.824271182522294
2,20,10,0.639588890200401,0.837156520802599
2,30,1,1.22312119248648,0.688349178753029
2,30,5,0.620768474307659,0.842141213561768
2,30,10,0.542505044479567,0.862041874575634
