"privacy","parents","copies","roc_bivar"
0,0,1,0.9499851788567
0,0,5,0.954938910051616
0,0,10,0.957855364076845
0,1,1,0.946039791868884
0,1,5,0.951767900158657
0,1,10,0.955744763626104
0,2,1,0.946946428195196
0,2,5,0.954077224886112
0,2,10,0.95796592994956
0.1,0,1,0.898330146441643
0.1,0,5,0.934239055838927
0.1,0,10,0.947424791844368
0.1,1,1,0.897362372003381
0.1,1,5,0.909924025275197
0.1,1,10,0.971034280376953
0.1,2,1,0.90721524257142
0.1,2,5,0.919626667591386
0.1,2,10,0.944825204286075
1,0,1,0.934364590787055
1,0,5,0.956141084946251
1,0,10,0.967203041066846
1,1,1,0.929781000695219
1,1,5,0.955121247925508
1,1,10,0.970491254090588
1,2,1,0.930130149311924
1,2,5,0.952588109618009
1,2,10,0.971925318450687
5,0,1,0.94809051517874
5,0,5,0.965819811037252
5,0,10,0.967027935121929
5,1,1,0.946529786850813
5,1,5,0.969476912535533
5,1,10,0.97075469848976
5,2,1,0.944143954373274
5,2,5,0.9660763896616
5,2,10,0.971514286326001
10,0,1,0.949016643139415
10,0,5,0.965258024386182
10,0,10,0.96704566559374
10,1,1,0.943624624434295
10,1,5,0.96378772370188
10,1,10,0.968647780827763
10,2,1,0.952848015463621
10,2,5,0.966882517763668
10,2,10,0.969526872125625
20,0,1,0.941996110598053
20,0,5,0.967678667855601
20,0,10,0.968205611040098
20,1,1,0.948301379449143
20,1,5,0.957953687675975
20,1,10,0.967900644127675
20,2,1,0.952402854421999
20,2,5,0.960806438386127
20,2,10,0.969519368549886
30,0,1,0.943702035445397
30,0,5,0.955292671256546
30,0,10,0.968063979929418
30,1,1,0.948728070430468
30,1,5,0.971256407521084
30,1,10,0.973058042887279
30,2,1,0.945871801529862
30,2,5,0.967013050911314
30,2,10,0.970226473159026
