type,rows,cols,vals,n,duration
datasynthesizer,1000,10,5,1,22.287311792373657
datasynthesizer,1000,10,10,1,22.24603295326233
datasynthesizer,1000,10,15,1,22.741262912750244
datasynthesizer,1000,10,20,1,23.476991891860962
datasynthesizer,1000,15,5,1,39.271231174468994
datasynthesizer,1000,15,10,1,43.82733678817749
datasynthesizer,1000,15,15,1,37.691126108169556
datasynthesizer,1000,15,20,1,38.513489961624146
datasynthesizer,1000,20,5,1,59.384257078170776
datasynthesizer,1000,20,10,1,60.315812826156616
datasynthesizer,1000,20,15,1,65.95304775238037
datasynthesizer,1000,20,20,1,69.84800577163696
datasynthesizer,5000,10,5,1,30.855413913726807
datasynthesizer,5000,10,10,1,27.76308798789978
datasynthesizer,5000,10,15,1,26.276708126068115
datasynthesizer,5000,10,20,1,27.58758282661438
datasynthesizer,5000,15,5,1,48.64108109474182
datasynthesizer,5000,15,10,1,48.31277418136597
datasynthesizer,5000,15,15,1,49.88170313835144
datasynthesizer,5000,15,20,1,55.51075506210327
datasynthesizer,5000,20,5,1,96.09910488128662
datasynthesizer,5000,20,10,1,98.10359072685242
datasynthesizer,5000,20,15,1,103.11247110366821
datasynthesizer,5000,20,20,1,102.52260518074036
