"minbucket","cp","copies","std_diff","ci_overlap"
5,0.00000001,1,1.15043354832476,0.706544832266706
5,0.00000001,5,0.453664289517191,0.884503723654386
5,0.00000001,10,0.632307518255692,0.838988722902169
5,0.000001,1,0.7052323164874,0.820296852833042
5,0.000001,5,0.783087190441948,0.800794362874028
5,0.000001,10,0.52644205309236,0.865914820066094
5,0.0001,1,1.58512412670372,0.598011019982592
5,0.0001,5,0.443965220442124,0.886920564222935
5,0.0001,10,0.639680490360284,0.837169026815394
5,0.01,1,1.03215226239733,0.737400653556584
5,0.01,5,0.638899831314428,0.83738674560039
5,0.01,10,0.573262513180963,0.853933949140905
10,0.00000001,1,0.746870122538268,0.816415088223003
10,0.00000001,5,0.708042572996368,0.81963789578719
10,0.00000001,10,0.502187161918265,0.872194285852355
10,0.000001,1,1.15784206500028,0.704866862383016
10,0.000001,5,0.684442071459456,0.825714923762881
10,0.000001,10,0.441593478029058,0.887641427314404
10,0.0001,1,1.131006455283,0.711544450244294
10,0.0001,5,0.346479295896139,0.911785124554185
10,0.0001,10,0.51564924675292,0.868634940110063
10,0.01,1,0.975286773438401,0.751540668527462
10,0.01,5,0.606357777146601,0.845615645138311
10,0.01,10,0.565187159977188,0.856151080202122
25,0.00000001,1,1.24208310238624,0.699328306013278
25,0.00000001,5,0.753177944013621,0.808155236635508
25,0.00000001,10,0.491704459598404,0.874739612530713
25,0.000001,1,0.829449768183387,0.788401373432696
25,0.000001,5,0.678594119570402,0.82717446860317
25,0.000001,10,0.600162012737168,0.847100025460702
25,0.0001,1,1.07739518102914,0.725195547976968
25,0.0001,5,0.473552391723405,0.879352451145473
25,0.0001,10,0.51327787965812,0.869281561758072
25,0.01,1,0.807418087574807,0.794640310806117
25,0.01,5,0.686711820876253,0.825221075844568
25,0.01,10,0.622171988382805,0.841538277535671
50,0.00000001,1,1.26574777046843,0.679334360748142
50,0.00000001,5,0.744519566864005,0.810409821685874
50,0.00000001,10,0.678003262824888,0.827332806599198
50,0.000001,1,1.28651193136941,0.672179692711944
50,0.000001,5,0.788717851226659,0.799063825539012
50,0.000001,10,0.463948804039573,0.881774474123004
50,0.0001,1,0.724272226604427,0.81530542992177
50,0.0001,5,0.810791794127212,0.793536555940981
50,0.0001,10,0.487368998630385,0.875880183133683
50,0.01,1,0.502124183802483,0.871976819000018
50,0.01,5,0.766124929575159,0.80508247044906
50,0.01,10,0.573477868161195,0.853999422067626
