"cp","minbucket","copies","roc_univar"
"0.000001","5","1",0.840181831032492
"0.00000001","25","1",0.845996144794483
"0.00000001","5","1",0.84899631086956
"0.01","10","1",0.850472351863296
"0.000001","25","1",0.851332078848531
"0.0001","25","1",0.85696259526858
"0.01","5","1",0.857373104009192
"0.000001","10","1",0.862747326107375
"0.0001","50","1",0.862765009338376
"0.000001","50","1",0.868983751248816
"0.00000001","50","1",0.871940949513601
"0.00000001","10","1",0.884960781565494
"0.0001","10","1",0.895653722168527
"0.01","25","1",0.896329601372084
"0.0001","5","1",0.89890534636507
"0.01","50","1",0.899706712164127
"0.00000001","5","5",0.913493603792868
"0.00000001","25","5",0.916786660321225
"0.01","50","5",0.916794153949261
"0.0001","5","5",0.917555183893641
"0.0001","10","5",0.920837559764298
"0.000001","5","5",0.923804032581264
"0.000001","10","5",0.926957351401375
"0.00000001","50","5",0.929377051391784
"0.0001","25","5",0.93004453370131
"0.0001","50","5",0.931363528055518
"0.01","25","5",0.931388211492916
"0.000001","25","5",0.933090128833775
"0.000001","50","5",0.935332836828959
"0.01","10","5",0.93680651040296
"0.00000001","10","5",0.938415581033232
"0.00000001","25","10",0.94190775486312
"0.00000001","50","10",0.943683142537011
"0.000001","10","10",0.944423289106986
"0.01","5","5",0.945006875498999
"0.0001","25","10",0.947044095518799
"0.000001","50","10",0.947121986190171
"0.0001","10","10",0.948845339409081
"0.0001","5","10",0.949960948017243
"0.01","50","10",0.949997678344305
"0.01","5","10",0.952595310930578
"0.01","25","10",0.954145307772395
"0.00000001","10","10",0.954695198982289
"0.000001","25","10",0.956768539639543
"0.000001","5","10",0.956865106781051
"0.0001","50","10",0.958275785188153
"0.01","10","10",0.959037327946288
"0.00000001","5","10",0.961848517346627
